Current Time,City,State,Country,Temperature,Feels Like,Humidity,Precipitation,Pressure,Wind_Speed,Wind Direction,Visibility,Sunrise,Sunset
2025-07-26 09:04:51,Perth Amboy,New Jersey,US,80,82,62,0,1019,10,100,10000,05:48:45,20:18:13
2025-07-26 09:05:12,Kyoto,,JP,79,79,89,0,1010,1,352,8677,16:01:30,06:05:13
2025-07-26 09:05:19,Reethi Rah,Malé Atoll,MV,82,87,74,0,1010,1,247,10000,21:02:59,09:22:49
2025-07-26 09:05:36,Río Piedras,Puerto Rico,US,84,91,71,0,1017,15,70,10000,06:00:00,19:01:10
2025-07-26 09:06:25,Death Valley Junction,California,US,68,66,28,0,1012,7,161,10000,08:47:48,22:56:17
2025-07-26 09:10:11,Reethi Rah,Malé Atoll,MV,82,87,74,0,1010,1,247,10000,21:02:59,09:22:49
2025-07-26 09:10:21,Río Piedras,Puerto Rico,US,84,92,71,0,1017,15,70,10000,06:00:00,19:01:10
2025-07-26 09:10:29,San Diego,California,US,64,64,78,0,1015,3,80,10000,08:58:39,22:51:25
2025-07-26 09:10:38,Nome,Alaska,US,46,46,93,0,1021,0,0,10000,09:46:44,04:29:17
2025-07-26 09:10:50,Kyoto,,JP,79,79,89,0,1010,1,352,8677,16:01:30,06:05:13
2025-07-26 09:10:21,Río Piedras,Puerto Rico,US,84,92,71,0,1017,15,70,10000,06:00:00,19:01:10
2025-07-26 11:14:04,New York,New York,US,82,84,53,0,1019,14,40,10000,05:47:10,20:17:39
2025-07-26 11:17:39,Nome,Alaska,US,46,46,93,0,1020,0,0,10000,09:46:44,04:29:17
2025-07-26 11:17:47,Río Piedras,Puerto Rico,US,87,96,67,0,1017,20,60,10000,06:00:00,19:01:10
2025-07-26 11:18:00,Kyoto,,JP,78,80,90,0,1011,2,23,10000,16:02:14,06:04:29
2025-07-26 11:18:20,Reethi Rah,Malé Atoll,MV,82,86,71,0,1012,2,6,10000,21:02:59,09:22:49
2025-07-26 12:33:30,Perth Amboy,New Jersey,US,83,85,58,0,1019,9,170,10000,05:48:45,20:18:13
2025-07-26 12:37:15,Perth Amboy,New Jersey,US,83,85,58,0,1019,9,170,10000,05:48:45,20:18:13
2025-07-26 12:37:26,Nome,Alaska,US,52,51,87,0,1020,5,120,10000,09:46:44,04:29:17
2025-07-26 12:37:38,Reethi Rah,Malé Atoll,MV,82,87,75,0,1012,3,25,10000,21:02:59,09:22:49
2025-07-26 12:37:46,Kyoto,,JP,78,80,91,0,1011,2,44,10000,16:02:14,06:04:29
2025-07-26 12:39:01,Nome,Alaska,US,52,51,87,0,1020,5,120,10000,09:46:44,04:29:17
2025-07-26 12:40:22,Nome,Alaska,US,52,51,87,0,1020,5,120,10000,09:46:44,04:29:17
2025-07-26 12:40:32,Los Angeles,California,US,67,67,73,0,1016,8,160,10000,09:00:08,22:58:34
2025-07-26 12:41:08,Osaka,Osaka Prefecture,JP,84,91,70,0,1010,3,250,10000,16:03:59,06:04:47
2025-07-26 12:41:20,Reethi Rah,Malé Atoll,MV,82,87,75,0,1012,3,25,10000,21:02:59,09:22:49
2025-07-26 12:41:36,Perth Amboy,New Jersey,US,83,85,58,0,1019,9,170,10000,05:48:45,20:18:13
2025-07-26 12:42:37,Río Piedras,Puerto Rico,US,87,97,67,0,1015,20,70,10000,06:00:00,19:01:10
2025-07-26 12:43:04,Kyoto,,JP,78,80,91,0,1011,2,44,10000,16:02:14,06:04:29
2025-07-26 13:04:35,New York,New York,US,83,84,49,0,1019,14,50,8047,05:47:10,20:17:39
2025-07-26 13:05:12,Reethi Rah,Malé Atoll,MV,82,87,76,0,1012,3,25,10000,21:02:59,09:22:49
2025-07-26 13:05:26,Perth Amboy,New Jersey,US,83,85,57,0,1020,13,170,10000,05:48:45,20:18:13
2025-07-26 13:05:44,Kyoto,,JP,77,79,90,0,1010,2,44,10000,16:02:14,06:04:29
2025-07-26 13:05:12,Reethi Rah,Malé Atoll,MV,82,87,76,0,1012,3,25,10000,21:02:59,09:22:49
2025-07-26 13:20:20,Nome,Alaska,US,52,51,93,0,1020,6,100,10000,09:46:44,04:29:17
2025-07-26 13:20:27,Kyoto,,JP,77,79,90,0,1010,2,44,10000,16:02:14,06:04:29
2025-07-26 13:20:41,Perth Amboy,New Jersey,US,83,85,56,0,1020,13,170,10000,05:48:45,20:18:13
2025-07-26 14:32:10,Perth Amboy,New Jersey,US,83,84,54,0,1019,12,140,10000,05:48:45,20:18:13
2025-07-26 15:10:25,Kyoto,,JP,78,80,89,0,1010,2,71,10000,16:02:14,06:04:29
2025-07-26 15:16:02,Kyoto,,JP,78,80,89,0,1010,2,71,10000,16:02:14,06:04:29
2025-07-26 15:16:34,Cincinnati,Ohio,US,93,106,60,0,1016,8,220,10000,06:33:23,20:55:29
2025-07-26 16:41:29,Perth Amboy,New Jersey,US,81,82,55,0,1018,9,150,8047,05:48:45,20:18:13
2025-07-26 16:46:59,Perth Amboy,New Jersey,US,81,82,55,0,1018,9,140,8047,05:48:45,20:18:13
2025-07-26 17:20:47,Perth Amboy,New Jersey,US,80,82,57,0,1019,9,150,8047,05:48:45,20:18:13
2025-07-26 18:01:24,Perth Amboy,New Jersey,US,80,80,60,0,1018,8,150,8047,05:48:45,20:18:13
2025-07-26 18:01:36,Reethi Rah,Malé Atoll,MV,82,86,72,0,1010,3,159,10000,21:03:04,09:22:45
2025-07-26 18:01:43,Kyoto,,JP,82,89,81,0,1010,2,98,10000,16:02:14,06:04:29
2025-07-26 18:08:04,Perth Amboy,New Jersey,US,79,79,60,0,1018,13,140,10000,05:48:45,20:18:13
2025-07-26 18:08:04,Perth Amboy,New Jersey,US,79,79,60,0,1018,13,140,10000,05:48:45,20:18:13
2025-07-26 18:08:22,Kyoto,,JP,82,89,81,0,1010,2,98,10000,16:02:14,06:04:29
2025-07-26 18:08:29,Reethi Rah,Malé Atoll,MV,82,86,72,0,1010,3,159,10000,21:03:04,09:22:45
2025-07-26 18:11:57,Perth Amboy,New Jersey,US,79,79,60,0,1018,13,140,10000,05:48:45,20:18:13
2025-07-26 18:14:40,Perth Amboy,New Jersey,US,79,79,60,0,1018,13,140,10000,05:48:45,20:18:13
2025-07-26 18:14:51,Nome,Alaska,US,60,59,75,0,1019,4,221,10000,09:46:44,04:29:17
2025-07-26 18:14:56,Kyoto,,JP,82,89,81,0,1010,2,98,10000,16:02:14,06:04:29
2025-07-26 18:15:02,Reethi Rah,Malé Atoll,MV,82,86,72,0,1010,3,159,10000,21:03:04,09:22:45
2025-07-26 18:15:09,Río Piedras,Puerto Rico,US,84,93,76,0,1015,16,80,10000,06:00:00,19:01:10
2025-07-26 18:17:45,Perth Amboy,New Jersey,US,79,79,60,0,1018,13,140,10000,05:48:45,20:18:13
2025-07-26 18:18:04,Reethi Rah,Malé Atoll,MV,82,86,72,0,1010,3,159,10000,21:03:04,09:22:45
2025-07-26 18:18:17,Kyoto,,JP,83,91,79,0,1010,2,98,10000,16:02:14,06:04:29
2025-07-26 18:18:29,Río Piedras,Puerto Rico,US,84,92,76,0,1015,16,80,10000,06:00:00,19:01:10
2025-07-26 18:18:40,San Diego,California,US,73,73,65,0,1014,13,270,10000,08:58:39,22:51:25
2025-07-26 18:45:43,Perth Amboy,New Jersey,US,78,79,62,0,1018,10,150,10000,05:48:45,20:18:13
2025-07-26 18:45:43,Perth Amboy,New Jersey,US,78,79,62,0,1018,10,150,10000,05:48:45,20:18:13
2025-07-27 11:15:35,Reethi Rah,Malé Atoll,MV,83,88,73,0,1012,4,34,10000,21:03:04,09:22:45
2025-07-27 11:15:59,Perth Amboy,New Jersey,US,78,79,83,0,1017,3,230,10000,05:49:40,20:17:18
2025-07-27 11:16:09,Kyoto,,JP,82,88,75,0,1007,2,243,10000,16:02:59,06:03:44
2025-07-27 11:16:18,San Diego,California,US,66,66,79,0,1015,8,360,10000,08:59:20,22:50:44
2025-07-27 11:16:27,Nome,Alaska,US,50,49,100,0,1015,7,200,1609,09:50:04,04:25:58
2025-07-27 11:16:53,Río Piedras,Puerto Rico,US,84,94,81,0,1017,17,90,10000,06:00:21,19:00:49
2025-07-27 11:25:13,San Diego,California,US,66,66,78,0,1015,8,360,10000,08:59:20,22:50:44
2025-07-27 11:25:21,Nome,Alaska,US,50,49,100,0,1015,8,210,3219,09:50:04,04:25:58
2025-07-27 11:25:29,Río Piedras,Puerto Rico,US,83,93,82,0,1017,17,90,10000,06:00:21,19:00:49
2025-07-27 11:25:55,Reethi Rah,Malé Atoll,MV,83,88,73,0,1012,4,34,10000,21:03:04,09:22:45
2025-07-27 11:26:09,Perth Amboy,New Jersey,US,78,79,78,0,1017,5,246,10000,05:49:40,20:17:18
2025-07-27 11:25:21,Nome,Alaska,US,50,49,100,0,1015,8,210,3219,09:50:04,04:25:58
2025-07-27 11:30:03,Perth Amboy,New Jersey,US,78,79,78,0,1017,5,246,10000,05:49:40,20:17:18
2025-07-27 11:30:12,Nome,Alaska,US,50,49,100,0,1015,8,210,3219,09:50:04,04:25:58
2025-07-27 11:30:21,San Diego,California,US,66,66,78,0,1015,8,360,10000,08:59:20,22:50:44
2025-07-27 11:30:28,Reethi Rah,Malé Atoll,MV,83,88,73,0,1012,3,68,10000,21:03:04,09:22:45
2025-07-27 11:30:39,Río Piedras,Puerto Rico,US,84,94,82,0,1016,17,90,10000,06:00:21,19:00:49
2025-07-27 11:31:13,Perth Amboy,New Jersey,US,78,79,78,0,1017,5,359,10000,05:49:40,20:17:18
